clip_name,code_switched,original_transcription,new_transcription,timestamp,processed,annotator
HH20211005[46_538-46_545].wav,,íjɔ́ ɛ́ðɛ̀,,,,Aaron
HH20211005[47_205-47_215].wav,,ìjá,,,,Aaron
HH20211005[47_220-47_234].wav,,ìjá ɛ́ðɛ̀,,,,Aaron
HH20211005[47_273-47_285].wav,,íjɔ́ ɛ́ðɛ̀,,,,Aaron
HH20211005[47_286-47_293].wav,,íjɔ́,,,,Aaron
HH20211005[47_298-47_305].wav,,ìjá,,,,Aaron
HH20211005[47_320-47_329].wav,,íjɔ́,,,,Aaron
HH20211005[47_336-47_346].wav,,ìjá,,,,Aaron
HH20211012[00_380-00_391].wav,,nàvlá,,,,Aaron
HH20211012[00_459-00_474].wav,,nàvlá nìclò,,,,Aaron
HH20211012[00_528-00_544].wav,,nàvlà nìclò,,,,Aaron
HH20211012[01_033-01_064].wav,,ɛ̀vàlá  ɛ̀vàlá kìclò,,,,Aaron
HH20211012[01_081-01_099].wav,,or àvàlà àvàlà kèclò,,,,Aaron
HH20211012[01_402-01_409].wav,,àvàlà,,,,Aaron
HH20211012[01_453-01_468].wav,,àvàlá kèclò,,,,Aaron
HH20211012[01_480-01_494].wav,,àvàlà kèclò,,,,Aaron
HH20211012[02_136-02_175].wav,,íŋgɛ́lá énônɛ̀ àvlà ndòbà,,,,Aaron
HH20211012[02_190-02_218].wav,,íŋgɛ́lá énônɛ̀ àvlà ndòbà,,,,Aaron
HH20211012[02_322-02_360].wav,,íŋgɛ́lá énônɛ̀ àvlà ndòbà,,,,Aaron
HH20211012[02_471-02_508].wav,,íŋgɛ́lá énônɛ̀ nàvlà ndòbà,,,,Aaron
HH20211012[02_548-02_583].wav,,íŋgɛ́lá énônɛ̀ nàvlà ndòbà,,,,Aaron
HH20211012[03_091-03_126].wav,,àn návlà nɛ́ núgûɽì,,,,Aaron
HH20211012[03_147-03_167].wav,,íŋgɛ́lá énônɛ̀ nàvlà ndòbà,,,,Aaron
HH20211012[03_356-03_365].wav,,núgûɽì,,,,Aaron
HH20211012[03_365-03_375].wav,,núgûɽì,,,,Aaron
HH20211012[03_375-03_384].wav,,núgûɽì,,,,Aaron
HH20211012[03_445-03_472].wav,,àn návlà nɛ́ núgûɽì,,,,Aaron
HH20211012[04_044-04_075].wav,,nàvlà nɛ́ nàɽìðɔ́ ŋámáðɛ̀,,,,Aaron
HH20211012[04_085-04_103].wav,,nàvlà nɛ́ nàɽìðɔ́ ŋámáðɛ̀,,,,Aaron
HH20211012[04_190-04_226].wav,,nàvlà nɛ́ nàɽìðɔ́ ŋámáðɛ̀,,,,Aaron
HH20211012[04_517-04_562].wav,,nàvlà nɛ́ nàɽìðɔ́ ŋámáðɛ̀,,,,Aaron
HH20211012[05_044-05_065].wav,,nàvlà nɛ́ nàɽìðɔ́ ŋámáðɛ̀,,,,Aaron
HH20211012[05_073-05_093].wav,,nàvlà nɛ́ nàɽìðɔ́ ŋámáðɛ̀,,,,Aaron
HH20211012[05_264-05_282].wav,,ŋàmáð ŋìclò,,,,Aaron
HH20211012[05_307-05_324].wav,,ŋàmáð ŋìclò,,,,Aaron
HH20211012[05_380-05_396].wav,,ŋàmàð ŋìclò,,,,Aaron
HH20211012[05_461-05_473].wav,,ŋàmàð,,,,Aaron
HH20211012[06_138-06_152].wav,,ɛ̀màð kìclò,,,,Aaron
HH20211012[06_190-06_211].wav,,àmàð kìclò,,,,Aaron
HH20211012[06_257-06_264].wav,,nàmàð,,,,Aaron
HH20211012[06_306-06_315].wav,,nàmàð,,,,Aaron
HH20211012[06_382-06_390].wav,,nàmáð,,,,Aaron
HH20211012[06_457-06_472].wav,,nàmàð nìclò,,,,Aaron
HH20211012[06_483-06_498].wav,,nàmàð nìclò,,,,Aaron
HH20211012[07_031-07_057].wav,,nàvlà nɛ́ ànúŋûĺ núgûɽì,,,,Aaron
HH20211012[07_202-07_257].wav,,nàvlà nɛ́ ànúŋûĺ núgûɽì,,,,Aaron
HH20211012[07_359-07_393].wav,,nàvlà nɛ́ ànúŋûĺ núgûɽì,,,,Aaron
HH20211012[08_314-08_324].wav,,ànùŋùl,,,,Aaron
HH20211012[08_381-08_393].wav,,ànúŋûl,,,,Aaron
HH20211012[08_393-08_407].wav,,ànúŋûl,,,,Aaron
HH20211012[08_428-08_441].wav,,ànúŋûl,,,,Aaron
HH20211012[09_181-09_223].wav,,àvlà kɛ̂ɛ́ ànúŋú ŋgúɽì,,,,Aaron
HH20211012[10_139-10_183].wav,,nàvlà núgûɽì nɛ̂ɛ́ nàjínɔ̀ ùlíŋgɛ̀,,,,Aaron
HH20211012[10_194-10_217].wav,,nàvlà núgûɽì nɛ̂ɛ́ nàjínɔ̀ ùlíŋgɛ̀,,,,Aaron
HH20211012[10_313-10_328].wav,,nàvlà núgûɽì nɛ̂ɛ́,,,,Aaron
HH20211012[10_369-10_377].wav,,nàjínɔ̀,,,,Aaron
HH20211012[10_399-10_406].wav,,ùlíŋgɛ̀,,,,Aaron
HH20211012[10_508-10_548].wav,,nàvlà núgûɽì nɛ́ nàjínɔ̀ ùlíŋgɛ̀,,,,Aaron
HH20211012[11_063-11_095].wav,,nàvlà núgûɽì nɛ́ nàjínɔ̀ ùlíŋgɛ̀,,,,Aaron
HH20211012[11_111-11_144].wav,,nàvlà núgûɽì nɛ́ nàjínɔ̀ ùlíŋgɛ̀,,,,Aaron
HH20211012[11_364-11_396].wav,,nàvlà núgûɽì nɛ́ nɛ̀gɛ̀ðɔ̂ĺ lâɾò lɛ̀,,,,Aaron
HH20211012[12_001-12_035].wav,,nàvlà núgûɽì nɛ́ nɛ̀gɛ̀ðɔ̂ĺ lâɾò lɛ̀,,,,Aaron
HH20211012[12_076-12_085].wav,,nɛ̀gɛ̀ðɔ́l,,,,Aaron
HH20211012[12_115-12_123].wav,,làɾú,,,,Aaron
HH20211012[12_157-12_163].wav,,lɛ̌,,,,Aaron
HH20211012[12_339-12_345].wav,,ɔ̀mnɛ̀ð,,,,Aaron
HH20211012[12_353-12_362].wav,,ɔ̀mnɛ̀ð,,,,Aaron
HH20211012[12_424-12_443].wav,,ɔ̀mnɛ̀ð kìcò,,,,Aaron
HH20211012[12_461-12_483].wav,,ɔ̀mnɛ̀ð kìcò,,,,Aaron
HH20211012[12_519-12_538].wav,,nɔ̀mnɛ̀ð nìcò,,,,Aaron
HH20211012[12_554-12_575].wav,,nɔ̀mnɛ̀ð nìcò,,,,Aaron
HH20211012[13_576-14_031].wav,,àvlǎ ŋgûɽì gɛ̂ɛ́ ŋgɛ̀ðɔ̂l lâɾò lɛ̀,,,,Aaron
HH20211012[14_064-14_125].wav,,àvlà ŋgûɽì gɛ́ ŋgɛ̀ðɔ̂l lâɾò lɛ̀,,,,Aaron
HH20211012[14_338-14_350].wav,,nɛ̀gɛ̀ðɔ̀l,,,,Aaron
HH20211012[14_402-14_413].wav,,ŋgɛ̀ðɔ́l,,,,Aaron
HH20211012[15_356-15_364].wav,,ŋgúɽì,,,,Aaron
HH20211012[16_216-16_237].wav,,ɛ̀vlá ŋ́gúɽì,,,,Aaron
HH20211012[16_316-16_326].wav,,ŋ́gúɽì,,,,Aaron
HH20211012[16_459-16_470].wav,,ŋ́gúɽì,,,,Aaron
HH20211012[17_044-17_069].wav,,l̀t̪ɾɔ́ lɜ́w líjà nàvlà dɛ̀,,,,Aaron
HH20211012[17_338-17_362].wav,,l̀t̪ɾɔ́ lɜ́w líjà nàvlà dɛ̀,,,,Aaron
HH20211012[17_396-17_407].wav,,l̀t̪ɾɔ́ lɜ́w líjà nàvlà dɛ̀,,,,Aaron
HH20211012[18_023-18_045].wav,,l̀t̪ɾɔ́ lɜ́w líjà nàvlà dɛ̀,,,,Aaron
HH20211012[18_239-18_252].wav,,l̀t̪ɾɔ́ lɜ́w líjà nàvlà dɛ̀,,,,Aaron
HH20211012[18_364-18_403].wav,,l̀t̪ɾɔ́ lɛ̀nɛ́ lɔ̌w líjà nàvlà dɛ̀,,,,Aaron
HH20211012[18_420-18_442].wav,,l̀t̪ɾɔ́ lɛ̀nɛ̀ lɔ̌w líjà nàvlà dɛ̀,,,,Aaron
HH20211012[18_552-18_563].wav,,lìt̪rɔ́ lɛ̀nɛ́,,,,Aaron
HH20211012[18_593-19_053].wav,,l̀t̪ɾɔ́ lɛ̀nɛ̀ lɔ̌w líjà nàvlà dɛ̀,,,,Aaron
HH20211012[19_130-19_137].wav,,lɛ̀nɛ̀,,,,Aaron
HH20211012[19_320-19_360].wav,,l̀t̪ɾɔ́ lɛ̀nɛ̀ lɔ̌w líjà nàvlà dɛ̀,,,,Aaron
HH20211012[19_428-19_448].wav,,l̀t̪ɾɔ́ lɜ́w líjà nàvlà dɛ̀,,,,Aaron
HH20211012[19_460-19_480].wav,,l̀t̪ɾɔ́ lɜ́w líjà nàvlà dɛ̀,,,,Aaron
HH20211012[21_044-21_112].wav,,nàvlà nàmìðí jónòr jɛ́ lâɾò vàɽàn,,,,Aaron
HH20211012[22_302-22_306].wav,,jonor,,,,Aaron
HH20211012[22_336-22_345].wav,,jɛ́ lâɾò,,,,Aaron
HH20211012[22_355-22_362].wav,,vaɽan,,,,Aaron
HH20211012[23_318-23_326].wav,,ijonor,,,,Aaron
HH20211012[23_437-23_446].wav,,jonor,,,,Aaron
HH20211012[25_174-25_181].wav,,jɛ́ lâɾò,,,,Aaron
HH20211012[28_142-28_194].wav,,ŋìrím ànɛ́ újɛ̌l kɛ́ àjɛ̀n,,,,Aaron
HH20211012[28_282-28_344].wav,,ŋìrím ànɛ́ újɛ̌l kɛ́ àjɛ̀n,,,,Aaron
HH20211012[28_587-28_593].wav,,ŋìrím,,,,Aaron
HH20211012[29_052-29_057].wav,,ùlíŋgɛ́,,,,Aaron
HH20211012[29_078-29_085].wav,,ùlíŋgɛ́,,,,Aaron
HH20211012[29_374-29_428].wav,,ùlíŋgɛ́ ànɛ́ újɛ̌l kɛ́ àjɛ̀n,,,,Aaron
HH20211012[29_487-29_521].wav,,ùlíŋgɛ́ ànɛ́ újɛ̌l kájɛ̀n,,,,Aaron
HH20211012[29_527-29_554].wav,,ùlíŋgɛ́ ànɛ́ újɛ̌l kájɛ̀n,,,,Aaron
HH20211012[29_572-29_576].wav,,ùjɛ̀l,,,,Aaron
HH20211012[30_015-30_018].wav,,ajɛn,,,,Aaron
HH20211012[30_058-30_063].wav,,àjɛ̀n,,,,Aaron
HH20211012[30_194-30_213].wav,,ùlíŋgɛ́ kìclò,,,,Aaron
HH20211012[30_226-30_242].wav,,ùlíŋgɛ́ kìclò,,,,Aaron
HH20211012[31_072-31_089].wav,,ùjɛ̀l kìclò,,,,Aaron
HH20211012[31_110-31_140].wav,,ùjɛ̀l kìclò,,,,Aaron
HH20211012[31_217-31_237].wav,,àjɛ́n jèɽà,,,,Aaron
HH20211012[31_253-31_271].wav,,àjɛ́n jèɽà,,,,Aaron
HH20211012[32_138-32_144].wav,,àjɛ̀n,,,,Aaron
HH20211012[32_245-32_250].wav,,àjɛ̀n,,,,Aaron
HH20211012[33_113-33_125].wav,,ɲɛ̌n ɲɛ̀ɽà,,,,Aaron
HH20211012[33_375-33_389].wav,,nàjɛ́n nɛ̀ɽà,,,,Aaron
HH20211012[33_423-33_439].wav,,nàjɛ́n nɛ̀ɽà,,,,Aaron
HH20211012[33_538-33_546].wav,,nùjɛ̀l,,,,Aaron
HH20211012[33_597-34_012].wav,,nùjɛ̀l nìclò,,,,Aaron
HH20211012[34_249-34_275].wav,,ùlíŋgɛ́ ǎn újɛ̌l kájɛ̀n,,,,Aaron
HH20211012[35_567-35_579].wav,,ðájɛ̂ðà ŋàmɽàɾɛ̀,,,,Aaron
HH20211012[36_010-36_040].wav,,ðàlgàrâj ðájɛ̂ðà ŋàmɽàɾɛ̀,,,,Aaron
HH20211012[36_164-36_185].wav,,ðàlgàrâj ðájɛ̂ðà ŋàmɽàɾɛ̀,,,,Aaron
HH20211012[36_192-36_215].wav,,ðàlgàrâj ðájɛ̂ðà ŋàmɽàɾɛ̀,,,,Aaron
HH20211012[36_341-36_366].wav,,ðàlgàrâj ðájɛ̂ðà ndɔ̀bà,,,,Aaron
HH20211012[38_187-38_204].wav,,ðàlagàrâj ðâjèðɔ́ ndɔ̀bà,,,,Aaron
HH20211012[38_215-38_231].wav,,ðàlagàrâj ðâjèðɔ́ ndɔ̀bà,,,,Aaron
HH20211012[38_408-38_447].wav,,ðàlgàrâj ðìjèðú únɛ̀ɾɛ̀,,,,Aaron
HH20211012[38_509-38_547].wav,, ðàlàgàrâj ðìjèðú ŋàmɽàɾɛ̀ ùnɛ̀ɾɛ̀,,,,Aaron
HH20211012[39_016-39_073].wav,,ðàlàgàrâj ðìjɛ̀ðú ùnɛ̀ɾɛ̀ ŋàmɽàɾɛ̀,,,,Aaron
HH20211012[39_246-39_287].wav,,ðàlàgàrâj ðìjɛ̀ðú ùnɛ̀ɾɛ̀ ŋàmɽàɾɛ̀,,,,Aaron
HH20211012[39_347-39_377].wav,,ðàlàgàrâj ðìjɛ̀ðú ùnɛ̀ɾɛ̀ ŋàmɽàɾɛ̀,,,,Aaron
HH20211012[40_221-40_230].wav,,jéðù,,,,Aaron
HH20211012[40_254-40_261].wav,,íjéðù,,,,Aaron
HH20211012[40_385-40_399].wav,,jéðɔ́ ŋàmɽàɾɛ̀,,,,Aaron
HH20211012[40_533-40_545].wav,,ìjèðá ŋàmɽàɾɛ̀,,,,Aaron
HH20211012[40_555-40_565].wav,,jèðá ŋàmɽàɾɛ̀,,,,Aaron
HH20211012[40_571-40_582].wav,,jèðá ŋàmɽàɾɛ̀,,,,Aaron
HH20211012[41_506-41_518].wav,,jèðá ŋàmɽàɾɛ̀,,,,Aaron
HH20211012[41_543-41_554].wav,,jèðá ŋàmɽàɾɛ̀,,,,Aaron
HH20211012[42_233-42_244].wav,,jèðá ŋàmɽàɾɛ̀,,,,Aaron
HH20211012[42_591-42_600].wav,,vráðɔ́,,,,Aaron
HH20211012[43_035-43_042].wav,,d̪úd̪ɔ̀,,,,Aaron
HH20211012[43_045-43_060].wav,,vráðɔ́ d̪úd̪ɔ̀,,,,Aaron
HH20211012[43_194-43_212].wav,,vráðɔ́ d̪úd̪ɔ̀,,,,Aaron
HH20211012[43_256-43_269].wav,,vráðɔ́ d̪úd̪ɔ̀,,,,Aaron
HH20211012[43_278-43_286].wav,,d̪úd̪ɔ̀,,,,Aaron
HH20211012[43_520-43_534].wav,,ðùd̪ɔ̀ ðìclò,,,,Aaron
HH20211012[43_543-43_559].wav,,d̪ùd̪ɔ̀ ðìclò,,,,Aaron
HH20211012[44_167-44_182].wav,,vràðá ðúd̪ɔ̀,,,,Aaron
HH20211012[44_193-44_206].wav,,vràðá ðúd̪ɔ̀,,,,Aaron
HH20211012[44_241-44_252].wav,,vràðá ðúd̪ɔ̀,,,,Aaron
HH20211012[45_105-45_138].wav,,lə̀vràðɔ́ ðúd̪ɔ̌ ùnɛ̀ɾɛ̀,,,,Aaron
HH20211012[45_150-45_177].wav,,lə̀vràðɔ́ ðúd̪ɔ̀ ùnɛ̀ɾɛ̀,,,,Aaron
HH20211012[45_265-45_288].wav,,lə̀vràðɔ́ ðúd̪ɔ̀ ùnɛ̀ɾɛ̀,,,,Aaron
HH20211012[46_497-46_515].wav,,lávrâðǎ d̪ùd̪ɔ̌,,,,Aaron
HH20211012[46_561-46_575].wav,,lávrâðà ðùd̪ɔ̀,,,,Aaron
HH20211012[47_026-47_044].wav,,lávrâðà d̪ùd̪ɔ̀ ndɔ̀bà,,,,Aaron
HH20211012[47_072-47_094].wav,,lávrâðà d̪ùd̪ɔ̀ ndɔ̀bà,,,,Aaron
HH20211012[47_166-47_184].wav,,lávrâðà d̪ùd̪ɔ̀ ndɔ̀bà,,,,Aaron
HH20211012[47_352-47_371].wav,,lâvràðɔ́ d̪úd̪ɔ̀ ndɔ̀bà,,,,Aaron
HH20211012[47_406-47_421].wav,,lâvràðɔ́ d̪úd̪ɔ̀ ndɔ̀bà,,,,Aaron
HH20211012[48_526-48_538].wav,,lâvràðɔ́,,,,Aaron
HH20211012[49_361-49_369].wav,,lávrâðǎ,,,,Aaron
HH20211012[49_482-49_499].wav,,lɔ̌w lâvràðó,,,,Aaron
HH20211012[50_083-50_099].wav,,lɔ́w lávrâðà,,,,Aaron
HH20211012[50_243-50_260].wav,,lɔ́w lávrâðà d̪ùd̪ɔ̀ ndòbà,,,,Aaron
HH20211012[52_012-52_034].wav,,lìɟí lə̀mèðɔ́ ðár ɽítī sè,,,,Aaron
HH20211012[52_209-52_218].wav,,lìðɔ́ ðár,,,,Aaron
HH20211012[52_270-52_290].wav,,lìðɔ́ ðár ɽítī sè,,,,Aaron
HH20211012[53_094-53_125].wav,,lìɟí lìðɔ́ ðàr,,,,Aaron
HH20211012[53_137-53_152].wav,,lìɟí lìðɔ́ ðàr,,,,Aaron
HH20211012[53_169-53_190].wav,,lìɟí lə̀mèðɔ́ ðár,,,,Aaron
